# gunzip -c exp/tri22/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Apr 22 03:53:52 UTC 2017
#
At utterance begin, SIL accounts for 88.2% of phone occurrences, with duration (median, mean, 95-percentile) is (18,25.3,69) frames.
At utterance begin, nonsilence accounts for 11.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,23) frames.
At utterance begin, r_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.4,36) frames.
At utterance begin, uu_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,18) frames.
At utterance begin, DH_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
At utterance begin, S_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.1,22) frames.
At utterance begin, ii_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
At utterance begin, n_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,17) frames.
At utterance end, SIL accounts for 84.3% of phone occurrences, with duration (median, mean, 95-percentile) is (21,29.0,76) frames.
At utterance end, nonsilence accounts for 15.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.3,38) frames.
At utterance end, a5_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.6,38) frames.
At utterance end, T_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,16) frames.
At utterance end, i4_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.5,34) frames.
At utterance end, N_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,27) frames.
At utterance end, e5_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.6,45) frames.
At utterance end, S_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.4,31) frames.
At utterance end, <oov>_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,23.6,47) frames.
At utterance end, sil_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,26.0,59) frames.
At utterance end, Z_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.7,31) frames.
Overall, nonsilence accounts for 90.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,20) frames.
Overall, SIL accounts for 9.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,26.7,80) frames.
