# gunzip -c exp/tri2/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2/graph 
# Started at Sat Apr 22 02:06:00 UTC 2017
#
At utterance begin, SIL accounts for 86.3% of phone occurrences, with duration (median, mean, 95-percentile) is (26,33.6,82) frames.
At utterance begin, nonsilence accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,20) frames.
At utterance begin, uu_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,16) frames.
At utterance begin, DH_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
At utterance begin, t_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,14) frames.
At utterance begin, ii_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
At utterance begin, S_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,17) frames.
At utterance begin, j_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,12) frames.
At utterance begin, r_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,18.1,40) frames.
At utterance begin, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,16) frames.
At utterance end, SIL accounts for 83.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,38.0,102) frames.
At utterance end, nonsilence accounts for 17.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.5,39) frames.
At utterance end, a5_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,20.0,33) frames.
At utterance end, T_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,24) frames.
At utterance end, e5_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.0,38) frames.
At utterance end, i4_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.6,29) frames.
At utterance end, N_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.8,27) frames.
At utterance end, sil_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (26,30.7,52) frames.
At utterance end, L_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (22,20.9,39) frames.
Overall, nonsilence accounts for 89.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,22) frames.
Overall, SIL accounts for 10.3% of phone occurrences, with duration (median, mean, 95-percentile) is (26,34.3,95) frames.
Overall, d_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
Overall, ii_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, j_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, uu_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,17) frames.
Overall, N_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.1,27) frames.
Overall, uo3_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,20) frames.
Overall, sh_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,18) frames.
Overall, AH0_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,13) frames.
Overall, n_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, i4_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.9,30) frames.
